Date,Open,High,Low,Close
2020-08-11,1.30713,1.31313,1.30416,1.30523
2020-08-12,1.30523,1.30677,1.30056,1.30326
2020-08-13,1.30314,1.31225,1.30309,1.30669
2020-08-14,1.30669,1.31424,1.3049,1.30861
2020-08-17,1.31029,1.31217,1.30744,1.3107
2020-08-18,1.31046,1.32498,1.31016,1.32403
2020-08-19,1.32403,1.32672,1.30941,1.31111
2020-08-20,1.31096,1.32242,1.30647,1.32162
2020-08-21,1.32162,1.32547,1.30592,1.30883
2020-08-24,1.30886,1.31487,1.30537,1.30662
2020-08-25,1.30662,1.31699,1.30588,1.31483
2020-08-26,1.31483,1.3219,1.31173,1.32089
2020-08-27,1.32099,1.3284,1.31615,1.32103
2020-08-28,1.32081,1.33565,1.31864,1.33483
2020-08-31,1.33507,1.33946,1.33012,1.33683
2020-09-01,1.33679,1.34822,1.33566,1.33819
2020-09-02,1.33819,1.34026,1.32837,1.33529
2020-09-03,1.33533,1.33586,1.32428,1.32778
2020-09-04,1.32777,1.33192,1.31762,1.32798
2020-09-07,1.32535,1.32595,1.3141,1.31629
2020-09-08,1.31635,1.31689,1.2976,1.29768
2020-09-09,1.29769,1.30235,1.28864,1.29964
2020-09-10,1.29968,1.30349,1.27741,1.28025
2020-09-11,1.28025,1.28655,1.27638,1.27974
2020-09-14,1.27962,1.29192,1.27913,1.28492
2020-09-15,1.28492,1.29256,1.28151,1.28916
2020-09-16,1.28916,1.30074,1.28756,1.29681
2020-09-17,1.29683,1.2996,1.28655,1.29725
2020-09-18,1.29713,1.29995,1.29153,1.29218
2020-09-21,1.29355,1.2966,1.27763,1.28143
2020-09-22,1.28152,1.28666,1.27113,1.27382
2020-09-23,1.2737,1.2777,1.26759,1.27239
2020-09-24,1.27239,1.27798,1.26911,1.27501
2020-09-25,1.27494,1.28046,1.26885,1.27479
2020-09-28,1.27619,1.29299,1.27514,1.28385
2020-09-29,1.28384,1.29027,1.2824,1.28604
2020-09-30,1.28603,1.29421,1.28064,1.29198
2020-10-01,1.29198,1.29783,1.28205,1.28835
2020-10-02,1.28835,1.29538,1.28376,1.29329
2020-10-05,1.29192,1.29907,1.29005,1.29775
2020-10-06,1.29775,1.30067,1.28676,1.28771
2020-10-07,1.2877,1.29297,1.28487,1.29133
2020-10-08,1.29133,1.29702,1.28917,1.29316
